risk_id,use_case,ai_system,tier,risk_category,owasp_llm_mapping,description,likelihood,impact,inherent_risk_rating,controls_applied,residual_risk_rating,risk_owner,status,review_date
AIR-001,M365 Copilot - general productivity,M365 Copilot,1,Data handling,LLM06,"Copilot surfaces internal content the requesting user already has access to via inherited M365 permissions; risk is over-permissioned source accounts, not Copilot itself",Low,Low,Low,"Entra Conditional Access for Copilot access; existing M365 permission model; Purview sensitivity labels",Low,IT Security Operations,Open - monitoring,2026-09-01
AIR-002,M365 Copilot - email and chat summarisation,M365 Copilot,2,Data disclosure,LLM06,"Copilot summarises email/Teams content that may include customer correspondence with embedded PII",Medium,Medium,Medium,"Purview DLP policies scoped to Copilot; sensitivity label inheritance; Conditional Access device compliance requirement",Low,IT Security Operations,Open - monitoring,2026-09-01
AIR-003,RAG Customer Service Assistant - direct prompt injection,RAG Customer Service Assistant,3,Prompt injection,LLM01,"Customer-facing chat input could contain injected instructions attempting to override system prompt or extract unintended data",High,High,High,"PEP input validation; system prompt isolation; Azure OpenAI content filters; Sentinel detection on injection-pattern attempts",Medium,AI Security Engineering,Open - monitoring,2026-08-15
AIR-004,RAG Customer Service Assistant - indirect prompt injection via retrieved documents,RAG Customer Service Assistant,3,Prompt injection,LLM01,"Malicious instructions embedded in vendor/merchant-submitted product content could be retrieved as RAG context and treated as model instructions",Medium,High,High,"Content review/sanitisation on ingestion; delimited context in prompt template; output validation at PEP",Medium,AI Security Engineering,Open - remediation in progress,2026-07-31
AIR-005,RAG Customer Service Assistant - cross-customer data disclosure,RAG Customer Service Assistant,3,Data disclosure,LLM06,"Retrieval scoping failure could surface another customer's order or PII data in a response",Low,High,Medium,"Server-side session scoping on order/CRM lookups; separate customer-facing vs internal document indexes; output PII scanning at PEP",Low,AI Security Engineering,Open - monitoring,2026-08-15
AIR-006,RAG Customer Service Assistant - resource exhaustion,RAG Customer Service Assistant,3,Availability,LLM04,"Adversarial long or high-volume inputs could exhaust token budget or degrade availability",Medium,Medium,Medium,"Rate limiting per session/IP; max token limits enforced at PEP independent of model limits; Sentinel volume anomaly detection",Low,AI Security Engineering,Open - monitoring,2026-09-01
AIR-007,Agentic Order-Management - excessive agency on refund actions,Agentic Order-Management Workflow,4,Excessive agency,LLM08,"Agent could interpret ambiguous or manipulated input as authorisation to issue a refund beyond what was actually requested",Medium,High,High,"Least-privilege tool scoping; human approval gate above dollar threshold; explicit confirmation step before execution",Medium,AI Security Engineering,Open - remediation in progress,2026-07-31
AIR-008,Agentic Order-Management - prompt injection via order/customer notes,Agentic Order-Management Workflow,4,Prompt injection,LLM01,"Injected instructions in retrieved order or customer note fields could trigger unauthorised tool calls (e.g. shipping address change)",Medium,High,High,"Data/instruction delimiting in prompt template; tool-call parameter validation against original request context; mandatory human review on parameter mismatch",Medium,AI Security Engineering,Open - remediation in progress,2026-07-31
AIR-009,Agentic Order-Management - threshold-splitting via repeated low-value actions,Agentic Order-Management Workflow,4,Fraud / abuse,LLM08,"Repeated small refunds against the same order/customer could be used to bypass the per-transaction human approval threshold",Low,High,Medium,"Cumulative velocity-based detection independent of per-transaction threshold; Sentinel detection on tool-call frequency anomalies",Low,AI Security Engineering,Open - monitoring,2026-08-15
AIR-010,Agentic Order-Management - approval fatigue,Agentic Order-Management Workflow,4,Process / human factors,N/A,"If approval threshold is set too low, approvers face high volumes of routine requests and may rubber-stamp without genuine review",Medium,Medium,Medium,"Periodic review of approval-queue behaviour and threshold calibration; no technical control fully mitigates this - tracked as a process risk",Medium,Risk and Compliance,Open - under review,2026-07-15
AIR-011,Shadow AI - unsanctioned AI tool usage by employees,Tenant-wide,2,Governance / visibility,N/A,"Employees may adopt unsanctioned external AI tools (consumer chatbots, browser extensions) outside governed channels, risking data exfiltration",Medium,Medium,Medium,"Defender for Cloud Apps shadow AI detection; Sentinel correlation; employee awareness sessions",Low,IT Security Operations,Open - monitoring,2026-09-01
AIR-012,Third-party AI vendor - data handling and subprocessor risk,Tenant-wide,3,Supply chain,LLM05,"AI vendors supporting Tier 3/4 use cases may have their own subprocessors or model providers with unclear data handling practices",Medium,High,High,"Third-party AI vendor review process applied prior to onboarding; contractual data handling and retention requirements",Medium,Risk and Compliance,Open - review process in place,2026-08-01
